"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Main\index.js", "JavaScript", 0, 0, 0, 13, 0, 0, 2, 15
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\Canvas.js", "JavaScript", 0, 0, 0, 90, 0, 3, 16, 109
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\ControlPanel.js", "JavaScript", 0, 0, 0, 98, 0, 0, 6, 104
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\Editable.js", "JavaScript", 0, 0, 0, 87, 0, 2, 11, 100
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\Header.js", "JavaScript", 0, 0, 0, 13, 0, 0, 2, 15
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\Inspector.js", "JavaScript", 0, 0, 0, 121, 0, 2, 5, 128
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\ProductLayer.js", "JavaScript", 0, 0, 0, 87, 0, 2, 5, 94
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\index.js", "JavaScript", 0, 0, 0, 192, 0, 18, 19, 229
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleCreate\keepcode.js", "JavaScript", 0, 0, 0, 34, 0, 19, 8, 61
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleDetail\Header.js", "JavaScript", 0, 0, 0, 44, 0, 2, 4, 50
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\OttleDetail\index.js", "JavaScript", 0, 0, 0, 13, 0, 2, 3, 18
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\PageNotFound\index.js", "JavaScript", 0, 0, 0, 45, 0, 0, 6, 51
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Profile\Info.js", "JavaScript", 0, 0, 0, 114, 0, 2, 7, 123
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Profile\Items.js", "JavaScript", 0, 0, 0, 50, 0, 2, 6, 58
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Profile\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 5, 27
"e:\WorkSpace\WorkSpace_Web\ottle\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 4, 1, 6
"e:\WorkSpace\WorkSpace_Web\ottle\src\utils\useForm.js", "JavaScript", 0, 0, 0, 4, 0, 0, 1, 5
"Total", "-", 15, 37204, 31, 3916, 1, 284, 485, 41936
